dataset,scene,window,sequence,source,source_path,available_frames,start_index,frames_per_window,first_frame,last_frame
7-scenes,heads,window-07,seq-01,dir,7-scenes/heads/seq-01,1000,762,20,frame-000762,frame-000781
7-scenes,heads,window-08,seq-01,dir,7-scenes/heads/seq-01,1000,871,20,frame-000871,frame-000890
7-scenes,heads,window-09,seq-01,dir,7-scenes/heads/seq-01,1000,980,20,frame-000980,frame-000999
7-scenes,office,window-00,seq-02,dir,7-scenes/office/seq-02,1000,0,20,frame-000000,frame-000019
7-scenes,office,window-01,seq-06,dir,7-scenes/office/seq-06,1000,0,20,frame-000000,frame-000019
7-scenes,office,window-02,seq-07,dir,7-scenes/office/seq-07,1000,0,20,frame-000000,frame-000019
7-scenes,office,window-03,seq-09,dir,7-scenes/office/seq-09,1000,0,20,frame-000000,frame-000019
7-scenes,office,window-04,seq-02,dir,7-scenes/office/seq-02,1000,490,20,frame-000490,frame-000509
7-scenes,office,window-05,seq-06,dir,7-scenes/office/seq-06,1000,490,20,frame-000490,frame-000509
7-scenes,office,window-06,seq-07,dir,7-scenes/office/seq-07,1000,980,20,frame-000980,frame-000999
7-scenes,office,window-07,seq-09,dir,7-scenes/office/seq-09,1000,980,20,frame-000980,frame-000999
7-scenes,office,window-08,seq-02,dir,7-scenes/office/seq-02,1000,980,20,frame-000980,frame-000999
7-scenes,office,window-09,seq-06,dir,7-scenes/office/seq-06,1000,980,20,frame-000980,frame-000999
7-scenes,pumpkin,window-00,seq-01,dir,7-scenes/pumpkin/seq-01,1000,0,20,frame-000000,frame-000019
7-scenes,pumpkin,window-01,seq-07,dir,7-scenes/pumpkin/seq-07,1000,0,20,frame-000000,frame-000019
7-scenes,pumpkin,window-02,seq-01,dir,7-scenes/pumpkin/seq-01,1000,245,20,frame-000245,frame-000264
7-scenes,pumpkin,window-03,seq-07,dir,7-scenes/pumpkin/seq-07,1000,245,20,frame-000245,frame-000264
7-scenes,pumpkin,window-04,seq-01,dir,7-scenes/pumpkin/seq-01,1000,490,20,frame-000490,frame-000509
7-scenes,pumpkin,window-05,seq-07,dir,7-scenes/pumpkin/seq-07,1000,490,20,frame-000490,frame-000509
7-scenes,pumpkin,window-06,seq-01,dir,7-scenes/pumpkin/seq-01,1000,735,20,frame-000735,frame-000754
7-scenes,pumpkin,window-07,seq-07,dir,7-scenes/pumpkin/seq-07,1000,735,20,frame-000735,frame-000754
7-scenes,pumpkin,window-08,seq-01,dir,7-scenes/pumpkin/seq-01,1000,980,20,frame-000980,frame-000999
7-scenes,pumpkin,window-09,seq-07,dir,7-scenes/pumpkin/seq-07,1000,980,20,frame-000980,frame-000999
7-scenes,redkitchen,window-00,seq-03,dir,7-scenes/redkitchen/seq-03,1000,0,20,frame-000000,frame-000019
7-scenes,redkitchen,window-01,seq-04,dir,7-scenes/redkitchen/seq-04,1000,0,20,frame-000000,frame-000019
7-scenes,redkitchen,window-02,seq-06,dir,7-scenes/redkitchen/seq-06,1000,0,20,frame-000000,frame-000019
7-scenes,redkitchen,window-03,seq-12,dir,7-scenes/redkitchen/seq-12,1000,0,20,frame-000000,frame-000019
7-scenes,redkitchen,window-04,seq-14,dir,7-scenes/redkitchen/seq-14,1000,0,20,frame-000000,frame-000019
7-scenes,redkitchen,window-05,seq-03,dir,7-scenes/redkitchen/seq-03,1000,980,20,frame-000980,frame-000999
7-scenes,redkitchen,window-06,seq-04,dir,7-scenes/redkitchen/seq-04,1000,980,20,frame-000980,frame-000999
7-scenes,redkitchen,window-07,seq-06,dir,7-scenes/redkitchen/seq-06,1000,980,20,frame-000980,frame-000999
7-scenes,redkitchen,window-08,seq-12,dir,7-scenes/redkitchen/seq-12,1000,980,20,frame-000980,frame-000999
7-scenes,redkitchen,window-09,seq-14,dir,7-scenes/redkitchen/seq-14,1000,980,20,frame-000980,frame-000999
7-scenes,stairs,window-00,seq-01,dir,7-scenes/stairs/seq-01,500,0,20,frame-000000,frame-000019
7-scenes,stairs,window-01,seq-04,dir,7-scenes/stairs/seq-04,500,0,20,frame-000000,frame-000019
7-scenes,stairs,window-02,seq-01,dir,7-scenes/stairs/seq-01,500,120,20,frame-000120,frame-000139
7-scenes,stairs,window-03,seq-04,dir,7-scenes/stairs/seq-04,500,120,20,frame-000120,frame-000139
7-scenes,stairs,window-04,seq-01,dir,7-scenes/stairs/seq-01,500,240,20,frame-000240,frame-000259
7-scenes,stairs,window-05,seq-04,dir,7-scenes/stairs/seq-04,500,240,20,frame-000240,frame-000259
7-scenes,stairs,window-06,seq-01,dir,7-scenes/stairs/seq-01,500,360,20,frame-000360,frame-000379
7-scenes,stairs,window-07,seq-04,dir,7-scenes/stairs/seq-04,500,360,20,frame-000360,frame-000379
7-scenes,stairs,window-08,seq-01,dir,7-scenes/stairs/seq-01,500,480,20,frame-000480,frame-000499
7-scenes,stairs,window-09,seq-04,dir,7-scenes/stairs/seq-04,500,480,20,frame-000480,frame-000499
